Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
L0292805			1	124541755		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Loaded to Dock	Not Applicable		*						FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292816			1	124541755		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Loaded to Dock	Not Applicable		*						FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
82009442	84171992	09-MAR-2026 00:00:00	1	124541755	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			1	0		L0292805		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
82009446	84171992	09-MAR-2026 00:00:00	1	124541755	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			1	0		L0292816		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
