Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
C2494273			1	123560486		1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR		Picked	Not Applicable		*						FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT			.	
E2473660			1	123560486		1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR		Picked	Not Applicable		*						FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT			.	
81208639	82310800	12-FEB-2026 00:00:00	20	123560486	AGCO BRASIL SOLUCOES AGR LTDA	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	5434424	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			20	0				FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT	70754454	2	.	
81692793	82310800	12-FEB-2026 00:00:00	46	123560486	AGCO BRASIL SOLUCOES AGR LTDA	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	5434424	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			46	0				FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT	70754454	1	.	
