Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
C2416458			1	123690356		72515 : VIA OESTE, ESQUINA VIA II-S/N-MONTENEGRO-RS-95780000-BR		Picked	Not Applicable		*						FGI X	72515 : VIA OESTE, ESQUINA VIA II-S/N-MONTENEGRO-RS-95780000-BR	CAT			.	
81737748	R220591	20-FEB-2026 00:00:00	8	123690356	JOHN DEERE BRASIL LTDA	72515 : VIA OESTE, ESQUINA VIA II-S/N-MONTENEGRO-RS-95780000-BR	5423076	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			8	0				FGI X	72515 : VIA OESTE, ESQUINA VIA II-S/N-MONTENEGRO-RS-95780000-BR	CAT	70802610	1	.	
