Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
C2261466			1	124055654		72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR		Picked	Not Applicable		*						FGI X	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	CAT			.	
C2309379			1	124055654		72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR		Picked	Not Applicable		*						FGI X	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	CAT			.	
C2313095			1	124055654		72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR		Picked	Not Applicable		*						FGI X	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	CAT			.	
C2314107			1	124055654		72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR		Picked	Not Applicable		*						FGI X	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	CAT			.	
81848236	016433-0	02-MAR-2026 00:00:00	5	124055654	DANA INDUSTRIAS LTDA	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	5466052	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			5	0				FGI X	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	CAT	70911419	2	.	
81848237	016442-9	02-MAR-2026 00:00:00	14	124055654	DANA INDUSTRIAS LTDA	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	5466052	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			14	0				FGI X	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	CAT	70911419	3	.	
81848239	035703-1	02-MAR-2026 00:00:00	6	124055654	DANA INDUSTRIAS LTDA	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	5466052	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			6	0				FGI X	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	CAT	70911419	5	.	
81848240	016430-5	02-MAR-2026 00:00:00	7	124055654	DANA INDUSTRIAS LTDA	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	5466052	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			7	0				FGI X	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	CAT	70911419	1	.	
