Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
C2509573	RA8870		1	124616584		72515 : VIA OESTE, ESQUINA VIA II-S/N-MONTENEGRO-RS-95780000-BR		Shipped	Not Applicable		*	1					FGI X	72515 : VIA OESTE, ESQUINA VIA II-S/N-MONTENEGRO-RS-95780000-BR	CAT			.	
81737852	R187321	10-MAR-2026 00:00:00	25	124616584	JOHN DEERE BRASIL LTDA	72515 : VIA OESTE, ESQUINA VIA II-S/N-MONTENEGRO-RS-95780000-BR	5423076	Interfaced	Not Applicable	*		25	0				FGI X	72515 : VIA OESTE, ESQUINA VIA II-S/N-MONTENEGRO-RS-95780000-BR	CAT	71040715	1	BRA_SHIP_INFO.......	
81989242	R187321	10-MAR-2026 00:00:00	7	124616584	JOHN DEERE BRASIL LTDA	72515 : VIA OESTE, ESQUINA VIA II-S/N-MONTENEGRO-RS-95780000-BR	5423076	Interfaced	Not Applicable	*		7	0				FGI X	72515 : VIA OESTE, ESQUINA VIA II-S/N-MONTENEGRO-RS-95780000-BR	CAT	71040715	3	BRA_SHIP_INFO.......	
82018370	R187321	10-MAR-2026 00:00:00	9	124616584	JOHN DEERE BRASIL LTDA	72515 : VIA OESTE, ESQUINA VIA II-S/N-MONTENEGRO-RS-95780000-BR	5423076	Interfaced	Not Applicable	*		9	0				FGI X	72515 : VIA OESTE, ESQUINA VIA II-S/N-MONTENEGRO-RS-95780000-BR	CAT	71040715	2	BRA_SHIP_INFO.......	
