Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
C2473635			1	123554893		1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR		Picked	Not Applicable		*						FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT			.	
C2473661			1	123554893		1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR		Picked	Not Applicable		*						FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT			.	
E2473635			1	123554893		1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR		Picked	Not Applicable		*						FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT			.	
E2473661			1	123554893		1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR		Picked	Not Applicable		*						FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT			.	
81695822	82310800	12-FEB-2026 00:00:00	100	123554893	AGCO BRASIL SOLUCOES AGR LTDA	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	5434424	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			100	0				FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT	70754454	1	.	
81695825	82310800	12-FEB-2026 00:00:00	66	123554893	AGCO BRASIL SOLUCOES AGR LTDA	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	5434424	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			66	0				FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT	70754454	1	.	
