Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
L0292366			1	123555638		1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR		Loaded to Dock	Not Applicable		*						FGI X	1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR	CAT			.	
L0292367			1	123555638		1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR		Loaded to Dock	Not Applicable		*						FGI X	1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR	CAT			.	
L0292368			1	123555638		1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR		Loaded to Dock	Not Applicable		*						FGI X	1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR	CAT			.	
L0292369			1	123555638		1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR		Loaded to Dock	Not Applicable		*						FGI X	1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR	CAT			.	
81404223	ACW241457B	12-FEB-2026 00:00:00	1	123555638	AGCO BRASIL SOLUCOES AGR LTDA	1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR	5413456	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop	*		1	0		L0292366		FGI X	1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR	CAT			.	
81458388	ACW241457B	12-FEB-2026 00:00:00	1	123555638	AGCO BRASIL SOLUCOES AGR LTDA	1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR	5413456	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop	*		1	0		L0292368		FGI X	1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR	CAT			.	
81697286	ACW241457B	12-FEB-2026 00:00:00	1	123555638	AGCO BRASIL SOLUCOES AGR LTDA	1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR	5413456	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop	*		1	0		L0292367		FGI X	1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR	CAT			.	
81697291	ACW241457B	12-FEB-2026 00:00:00	1	123555638	AGCO BRASIL SOLUCOES AGR LTDA	1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR	5413456	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop	*		1	0		L0292369		FGI X	1495084 : RUA CAPITAO FRANCISCO DE ALMEIDA-695-MOGI DAS CRUZES-SP-08740300-BR	CAT			.	
