Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
C2517144			1	124055641		72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR		Picked	Not Applicable		*						FGI X	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	CAT			.	
C2517145			1	124055641		72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR		Picked	Not Applicable		*						FGI X	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	CAT			.	
81848235	019356-9	02-MAR-2026 00:00:00	16	124055641	DANA INDUSTRIAS LTDA	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	5466052	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			16	0				FGI X	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	CAT	70911419	4	.	
81848238	035704-9	02-MAR-2026 00:00:00	11	124055641	DANA INDUSTRIAS LTDA	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	5466052	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			11	0				FGI X	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	CAT	70911419	6	.	
81893076	019356-9	02-MAR-2026 00:00:00	34	124055641	DANA INDUSTRIAS LTDA	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	5466052	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			34	0				FGI X	72606 : RUA RICARDO BRUNO ALBARUS-201-GRAVATAI-RS-94045400-BR	CAT	70911419	4	.	
