Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
L0292786			1	124663575		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Shipped	Not Applicable		*	1					FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292790			1	124663575		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Shipped	Not Applicable		*	1					FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292791			1	124663575		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Shipped	Not Applicable		*	1					FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292792			1	124663575		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Shipped	Not Applicable		*	1					FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292793			1	124663575		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Shipped	Not Applicable		*	1					FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292794			1	124663575		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Shipped	Not Applicable		*	1					FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292795			1	124663575		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Shipped	Not Applicable		*	1					FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292796			1	124663575		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Shipped	Not Applicable		*	1					FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292797			1	124663575		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Shipped	Not Applicable		*	1					FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292818			1	124663575		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Shipped	Not Applicable		*	1					FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
81719751	84171992	11-MAR-2026 00:00:00	1	124663575	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Interfaced	Not Applicable	*		1	0		L0292786		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			BRA_SHIP_INFO.......	
81993092	84171992	11-MAR-2026 00:00:00	1	124663575	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Interfaced	Not Applicable	*		1	0		L0292791		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			BRA_SHIP_INFO.......	
82008445	84171992	11-MAR-2026 00:00:00	1	124663575	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Interfaced	Not Applicable	*		1	0		L0292793		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			BRA_SHIP_INFO.......	
82044332	84171992	11-MAR-2026 00:00:00	1	124663575	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Interfaced	Not Applicable	*		1	0		L0292818		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			BRA_SHIP_INFO.......	
82044336	84171992	11-MAR-2026 00:00:00	1	124663575	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Interfaced	Not Applicable	*		1	0		L0292797		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			BRA_SHIP_INFO.......	
82044342	84171992	11-MAR-2026 00:00:00	1	124663575	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Interfaced	Not Applicable	*		1	0		L0292790		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			BRA_SHIP_INFO.......	
82044348	84171992	11-MAR-2026 00:00:00	1	124663575	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Interfaced	Not Applicable	*		1	0		L0292796		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			BRA_SHIP_INFO.......	
