Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
81647339	4303403	13-FEB-2026 00:00:00	136	123459584	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			136	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716935	1	.	
81647434	4303403	13-FEB-2026 00:00:00	136	123459584	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			136	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716935	1	.	
81647435	4303403	13-FEB-2026 00:00:00	136	123459584	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			136	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716935	1	.	
81647436	4303403	13-FEB-2026 00:00:00	136	123459584	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			136	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716935	1	.	
81647437	4303403	13-FEB-2026 00:00:00	136	123459584	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			136	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716935	1	.	
81647438	4303403	13-FEB-2026 00:00:00	136	123459584	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			136	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716935	1	.	
81647439	4303403	13-FEB-2026 00:00:00	136	123459584	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			136	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716935	1	.	
81647440	4303403	13-FEB-2026 00:00:00	136	123459584	EATON LTDA.	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	5456144	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			136	0				FGI X	72384 : RUA CLARK-2061-VALINHOS-SP-13279400-BR	CAT	70716935	1	.	
