Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
C2493769			1	123555107		1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR		Picked	Not Applicable		*						FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT			.	
E2473658			1	123555107		1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR		Picked	Not Applicable		*						FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT			.	
81672239	82310600	13-FEB-2026 00:00:00	5	123555107	AGCO BRASIL SOLUCOES AGR LTDA	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	5406482	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop	*		5	0				FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT	70754748	1	.	
81208629	82310600	13-FEB-2026 00:00:00	90	123555107	AGCO BRASIL SOLUCOES AGR LTDA	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	5434424	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop	*		90	0				FGI X	1495083 : AVENIDA GUILHERME SCHELL-10260-CANOAS-RS-92420532-BR	CAT	70754748	2	.	
