Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
L0292657			1	124541743		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Loaded to Dock	Not Applicable		*						FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292711			1	124541743		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Loaded to Dock	Not Applicable		*						FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292712			1	124541743		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Loaded to Dock	Not Applicable		*						FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292713			1	124541743		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Loaded to Dock	Not Applicable		*						FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292714			1	124541743		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Loaded to Dock	Not Applicable		*						FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292715			1	124541743		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Loaded to Dock	Not Applicable		*						FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292716			1	124541743		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Loaded to Dock	Not Applicable		*						FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292717			1	124541743		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Loaded to Dock	Not Applicable		*						FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
L0292718			1	124541743		1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR		Loaded to Dock	Not Applicable		*						FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
81890247	87642683	09-MAR-2026 00:00:00	1	124541743	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5424511	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop	*		1	0		L0292657		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
81514788	87642683	09-MAR-2026 00:00:00	1	124541743	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			1	0		L0292718		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
81514789	87642683	09-MAR-2026 00:00:00	1	124541743	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			1	0		L0292714		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
82007966	87642683	09-MAR-2026 00:00:00	1	124541743	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			1	0		L0292711		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
82007969	87642683	09-MAR-2026 00:00:00	1	124541743	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			1	0		L0292712		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
82007972	87642683	09-MAR-2026 00:00:00	1	124541743	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			1	0		L0292713		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
82007979	87642683	09-MAR-2026 00:00:00	1	124541743	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			1	0		L0292715		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
82007983	87642683	09-MAR-2026 00:00:00	1	124541743	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			1	0		L0292716		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
82007988	87642683	09-MAR-2026 00:00:00	1	124541743	CNH INDUSTRIAL BRASIL LTDA	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	5437506	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			1	0		L0292717		FGI X	1449634 : AV. JEROME CASE-1801-SOROCABA-SP-18087220-BR	CAT			.	
