Detail	Item Name	Date Scheduled	Requested Qty	Delivery	Ship to Customer	Ship to	Order	Line Status	Next Step	Exceptions	LPN	Shipped Qty	Backordered Qty	Details Required	Serial Number	Inventory Control	data	Deliver to	Org Code	Move Order Number	Move Order Line Number	[ ]	
C2495468			1	123586348		1495085 : RODOVIA VICE PREFEITO HERMENEGILDO TONOLI-KM 02 S/N-JUNDIAI-SP-13213086-BR		Picked	Not Applicable		*						FGI X	1495085 : RODOVIA VICE PREFEITO HERMENEGILDO TONOLI-KM 02 S/N-JUNDIAI-SP-13213086-BR	CAT			.	
81716422	6283700M91	11-FEB-2026 00:00:00	1	123586348	AGCO BRASIL SOLUCOES AGR LTDA	1495085 : RODOVIA VICE PREFEITO HERMENEGILDO TONOLI-KM 02 S/N-JUNDIAI-SP-13213086-BR	5428280	Staged/Pick Confirmed	Ship Confirm/Close Trip Stop			1	0				FGI X	1495085 : RODOVIA VICE PREFEITO HERMENEGILDO TONOLI-KM 02 S/N-JUNDIAI-SP-13213086-BR	CAT	70768628	2	.	
